1,Animal
2,ÿpet
3,equestrian
4,livestock and animal products
5,Animal housing
6,carriers
7,equestrian riding gear
8,professional veterinary supplies
9,Animal Accessories
10,ÿtoys
11,pet clothing
12,collars
13,ÿleashes
14,crate liners
15,ÿblankets
16,aquarium
17,decor
18,pumps
19,heaters
20,Art & Craft
21,ÿcrafting
22,sewing
23,knitting supplies
24,collectibles
25,display accessories
26,glues
27,Baby
28,baby and toddler products.
29,ÿmedicine
30,Baby Food
31,baby formula
32,baby  nutrition
33,high chairs
34,booster seats
35,baskets
36,beds
37,Baby Toys
38,ÿpre-walker
39,toddler toys
40,Carriers & Accessories
41,holders
42,luggage
43,travel accessories
44,animal carriers
45,ÿbaby carriers
46,instrument cases
47,ÿcases or bags.
48,ÿhandbags
49,ÿbackpacks
50,wallets
51,electronics
52,ÿcamera cases
53,Household
54,home/domestic cleaning
55,professional cleaning
56,ÿjanitorial
57,ÿpest control
58,Gift Cards
59,greeting cards
60,personal safety equipment
61,ÿsafety protection equipment
62,ÿfirefighting
63,emergency escape products
64,chemical and spill mitigation
65,Clothing
66,underwear
67,swimwear
68,headwear
69,neckwear
70,sportswear
71,protective clothing
72,ÿfashion accessories
73,umbrellas
74,ÿhand-held fans
75,Electronics
76,smart watches
77,ÿaudio devices
78,video game
79,tools
80,Cell Phones
81,smartphones
82,Computers
83,desktops
84, laptops
85, tablets
86,video game consoles
87, hardware
88,printers
89, scanners
90,fax machines
91,cameras
92,optical devices
93, office supplies
94,film supplies
95,Food & Beverages
96,sport nutrition
97,soft drinks
98,footwear
99,sporting footwear
